Random fun facts.
Opening Name,Namesake (Associated Player/Theorist),Contribution
Ruy Lopez (Spanish Game),Ruy López de Segura (Spanish Priest),Published the first systematic analysis of this opening in 1561.
King's Gambit,Gioachino Greco (Italian Master),Refined and analyzed the aggressive gambit in the 17th century.
Scotch Game,Scottish Players,Named after an 1824 correspondence match between London and Edinburgh.
Evans Gambit,William Davies Evans (Welsh Sea Captain),First played in 1827 and popularized the famous pawn sacrifice.
Petrov's Defense,Alexander Petrov (Russian Master),"Analyzed and popularized the solid, symmetrical defense in the 1840s."
Philidor Defense,François-André Danican Philidor (French Master),Authored the 1749 book championing this early defense.
French Defense,French Players,Named after an 1834 correspondence match between Paris and London.
Caro-Kann Defense,Horatio Caro & Marcus Kann,Independently analyzed and published work on the defense in the 1880s.
Alekhine's Defense,Alexander Alekhine (4th World Champion),Introduced and demonstrated the effectiveness of this hypermodern defense in 1921.
Pirc Defense,Vasja Pirc (Slovenian Grandmaster),Developed the modern theory of this hypermodern setup in the mid-20th century.
Nimzo-Indian Defense,Aron Nimzowitsch (Latvian Grandmaster),"Published key analysis in the 1920s, pioneering hypermodern development."
Grünfeld Defense,Ernst Grünfeld (Austrian Grandmaster),Introduced the opening in 1922 and quickly proved its soundness.
Bogo-Indian Defense,Efim Bogoljubov (Russian Grandmaster),A cornerstone of his repertoire in the 1920s and 30s.
Catalan Opening,Savielly Tartakower (Austrian Grandmaster),"Introduced it at a 1929 tournament in Catalonia, Spain."
English Opening,Howard Staunton (English Master),Popularized the move 1.c4 in the mid-19th century.
Réti Opening,Richard Réti (Czechoslovakian Grandmaster),Championed this hypermodern system of indirect central control in the 1920s.
Bird's Opening,Henry Edward Bird (English Master),Frequently played and analyzed this unusual system in the mid-19th century.
Larsen's Opening,Bent Larsen (Danish Grandmaster),Pioneered this hypermodern flank development in the 1960s and 70s.
